Realization	utility	week	infra.
784	2	1461	4
786	2	2087	4
787	2	1565	4
788	2	1565	4
789	2	1722	4
793	2	1304	4
794	2	1826	4
796	2	1722	4
798	2	1617	4
800	2	2243	4
802	2	1826	4
803	2	2035	4
809	2	1774	4
816	2	2035	4
822	2	1669	4
825	2	1878	4
828	2	1669	4
830	2	2087	4
831	2	1722	4
832	2	2191	4
833	2	1930	4
833	2	2295	12
835	2	1774	4
837	2	2243	4
844	2	1878	4
845	2	1408	4
845	2	2295	12
850	2	1513	4
853	2	1565	4
855	2	1200	12
855	2	1461	4
858	2	1878	4
859	2	1669	4
860	2	1826	4
861	2	2295	4
862	2	1982	4
866	2	2243	4
867	2	1617	4
868	2	1930	4
870	2	2139	4
871	2	2139	4
872	2	1930	4
874	2	1826	4
879	2	1722	4
880	2	1826	4
882	2	1878	4
883	2	2191	4
887	2	2243	4
888	2	1565	4
889	2	1930	4
891	2	1669	4
892	2	1826	4
893	2	1930	4
894	2	1930	4
896	2	1878	4
897	2	2087	4
898	2	1930	4
909	2	1878	4
910	2	1774	4
912	2	1982	4
913	2	1722	4
919	2	1826	4
920	2	1982	4
923	2	2243	4
926	2	1356	12
926	2	1617	4
932	2	1878	4
933	2	1930	4
935	2	1617	4
937	2	1565	4
946	2	2139	4
948	2	1878	4
950	2	1513	4
951	2	1095	12
951	2	1356	4
952	2	1461	12
952	2	1722	4
953	2	1982	4
954	2	2139	4
955	2	1878	4
956	2	1826	4
959	2	1774	4
960	2	2295	4
962	2	2087	4
963	2	2087	4
967	2	2035	4
968	2	1356	4
968	2	2295	12
970	2	1461	4
977	2	2243	4
980	2	2191	4
981	2	1565	4
981	2	2139	12
983	2	1930	4
985	2	1982	4
986	2	1461	4
986	2	2087	12
987	2	1722	4
