Realization	utility	week	infra.
435	1	1252	5
437	1	2139	5
441	1	1461	11
441	1	1722	5
445	1	1617	5
446	1	1148	5
448	1	1513	5
450	1	1200	11
450	1	1461	5
451	1	1513	5
452	1	2035	5
453	1	1826	5
454	1	1774	5
455	1	1252	5
456	1	1304	5
457	1	1200	5
459	1	1826	5
461	1	1304	11
461	1	1565	5
465	1	1252	11
465	1	1513	5
466	1	1774	5
467	1	678	11
467	1	1356	5
468	1	1356	5
469	1	2139	5
470	1	1669	5
472	1	1200	5
473	1	1774	5
474	1	2139	5
475	1	1826	5
483	1	1408	5
484	1	1304	5
485	1	2191	5
486	1	1095	5
487	1	1930	5
490	1	1669	5
491	1	1826	5
494	1	2139	5
495	1	2139	5
500	1	1774	5
502	1	1930	5
504	1	1982	5
508	1	1252	5
509	1	1826	5
510	1	1200	11
510	1	1461	5
513	1	1617	5
514	1	1565	5
515	1	2087	5
519	1	1617	5
520	1	1148	5
520	1	1878	11
524	1	1826	5
525	1	1200	11
525	1	1461	5
528	1	1408	5
529	1	1252	11
529	1	1513	5
530	1	1669	5
532	1	1356	5
533	1	1148	11
533	1	1408	5
535	1	1043	11
535	1	1461	5
537	1	1826	5
538	1	2035	5
540	1	1513	5
543	1	1304	5
544	1	1617	5
545	1	1565	5
546	1	2139	5
547	1	1461	5
552	1	2035	5
553	1	2035	5
555	1	1408	5
556	1	2139	5
557	1	2191	5
562	1	1617	5
563	1	1200	5
563	1	2295	11
564	1	1304	11
564	1	1565	5
567	1	2191	5
570	1	1878	5
571	1	1774	5
572	1	1617	5
573	1	2139	5
574	1	1200	11
574	1	1461	5
578	1	1461	5
579	1	1565	5
580	1	1617	5
584	1	1461	5
585	1	1304	5
587	1	1565	5
589	1	1304	11
589	1	1565	5
591	1	2191	5
592	1	1200	11
592	1	1461	5
594	1	1408	5
596	1	1252	11
596	1	1565	5
597	1	2035	5
598	1	1982	5
602	1	1669	5
604	1	1826	5
606	1	2035	5
607	1	1930	5
608	1	1878	5
609	1	1774	5
611	1	2035	5
613	1	1513	11
613	1	1774	5
614	1	1982	5
616	1	2139	5
618	1	2035	5
619	1	1669	5
622	1	2035	5
623	1	1461	11
623	1	1722	5
626	1	1513	11
626	1	1774	5
628	1	1461	11
628	1	1722	5
631	1	1930	5
633	1	1930	5
634	1	1722	5
636	1	1878	5
637	1	1982	5
638	1	1930	5
640	1	1565	5
642	1	1408	5
643	1	1304	11
643	1	1565	5
645	1	2035	5
646	1	1982	5
647	1	1252	11
647	1	1513	5
650	1	1669	5
651	1	1982	5
654	1	1878	5
657	1	1774	5
659	1	1826	5
660	1	1878	5
661	1	1826	5
663	1	1722	5
664	1	2035	5
668	1	2087	5
669	1	1878	5
671	1	2243	5
672	1	1617	5
678	1	1826	5
679	1	1356	11
679	1	1617	5
680	1	2035	5
684	1	1878	5
686	1	1408	5
687	1	2191	5
688	1	1565	5
691	1	1826	5
692	1	1461	11
692	1	1722	5
693	1	1669	5
694	1	1252	11
694	1	1565	5
695	1	1304	5
699	1	1356	5
700	1	2035	5
701	1	1461	5
702	1	1408	5
702	1	2035	11
704	1	1617	5
705	1	2191	5
706	1	1878	5
707	1	1513	5
708	1	1878	5
711	1	1669	5
