Realization	utility	week	infra.
584	0	2295	4
585	0	991	8
585	0	1461	10
585	0	1774	4
585	0	2087	9
587	0	1252	8
588	0	2243	4
589	0	1148	8
589	0	1617	4
589	0	1930	10
589	0	2243	9
592	0	939	8
592	0	1565	4
592	0	1878	10
592	0	2191	9
594	0	1461	4
594	0	1722	8
595	0	1356	4
595	0	1617	8
596	0	1043	8
596	0	1461	10
596	0	1774	4
596	0	2087	9
602	0	1356	4
602	0	1617	8
604	0	1930	4
604	0	2191	8
606	0	1669	4
606	0	2035	8
608	0	1826	4
608	0	2087	8
609	0	1669	4
609	0	1930	8
609	0	2243	10
611	0	2035	4
611	0	2295	8
612	0	2087	4
613	0	887	8
613	0	1513	4
613	0	1826	10
613	0	2139	9
614	0	2191	4
618	0	1617	4
618	0	1878	8
619	0	1826	4
619	0	2087	8
623	0	1461	4
623	0	1722	8
623	0	2035	10
626	0	1513	4
626	0	1774	8
628	0	1356	4
628	0	1617	8
628	0	1982	10
630	0	1565	4
630	0	1826	8
631	0	1722	4
631	0	1982	8
633	0	1304	8
633	0	2087	4
634	0	887	8
634	0	1408	4
634	0	1722	10
634	0	2035	9
636	0	1722	4
636	0	1982	8
637	0	2035	4
637	0	2295	8
638	0	2035	4
638	0	2295	8
640	0	1461	4
640	0	1722	8
640	0	2035	10
642	0	1043	8
642	0	1617	4
642	0	1930	10
642	0	2243	9
643	0	1148	4
643	0	1408	8
643	0	1722	10
643	0	2035	9
644	0	2087	4
647	0	1200	4
647	0	1461	8
647	0	1774	10
647	0	2087	9
650	0	1565	4
650	0	1826	8
650	0	2243	10
651	0	2087	4
652	0	2035	4
652	0	2295	8
654	0	1722	4
654	0	1982	8
657	0	1930	4
657	0	2243	8
664	0	2139	4
668	0	2139	4
669	0	1095	8
669	0	2243	4
672	0	1043	8
672	0	1617	4
672	0	1930	10
672	0	2243	9
674	0	1774	4
674	0	2035	8
679	0	782	8
679	0	1200	4
679	0	1513	10
679	0	1826	9
681	0	1408	4
681	0	1669	8
684	0	1669	4
684	0	1982	8
686	0	1408	8
