idx,REL,RF,INF NPC,PFC,WCC,Name
157,0.987,0.01931,65.73067,0.09193,0.09402,Brushed
158,0.987,0.01793,77.90771,0.07687,0.04643,Brushed
159,0.989,0.02487,85.05246,0.07318,0.07367,Brushed
160,0.991,0.13573,57.60343,0.11346,0.07164,Brushed
162,0.991,0.10047,86.47351,0.11978,0.04801,Brushed
163,0.981,0.14038,0.17073,0.19213,0.08045,Brushed
164,0.984,0.24178,0.02487,0.37366,0.01499,Brushed
165,0.985,0.27618,0.02487,0.31533,0.0272,Brushed
166,0.981,0.08336,15.96214,0.35117,0.06442,Brushed
167,0.981,0.05958,36.79759,0.46318,0.03101,Brushed
168,0.983,0.18791,0.36211,0.41187,0.04023,Brushed
169,0.982,0.01887,53.90809,0.04932,0.06366,Brushed
170,0.987,0.02738,56.0328,0.10984,0.04057,Brushed
171,0.991,0.04327,96.16448,0.26627,0.031,Brushed
172,0.987,0.04613,55.3829,0.07449,0.06264,Brushed
173,0.988,0.01918,91.9914,0.06702,0.04904,Brushed
174,0.981,0.14051,0.17073,0.21751,0.04543,Brushed
175,0.983,0.18796,0.09288,0.3322,0.08701,Brushed
176,0.983,0.02709,49.08559,0.15692,0.00961,Brushed
177,0.988,0.02562,67.89772,0.0731,0.02736,Brushed
178,0.981,0.09533,0.17073,0.42802,0.01893,Brushed
179,0.983,0.20638,0.09288,0.34512,0.04399,Brushed
180,0.983,0.27618,0.04256,0.27342,0.03813,Brushed
181,0.989,0.03673,79.12819,0.33555,0,Brushed
182,0.983,0.24167,0.72175,0.19993,0.08911,Brushed
183,0.983,0.24173,0.02487,0.30573,0.03694,Brushed
184,0.985,0.27616,0.02487,0.38231,0.00773,Brushed
185,0.989,0.02676,92.09417,0.12458,0.02841,Brushed
186,0.987,0.02971,53.04504,0.2557,0.00845,Brushed
187,0.981,0.14,0.17073,0.22984,0.03427,Brushed
188,0.989,0.11533,59.93274,0.18978,0.04852,Brushed
189,0.982,0.0952,29.8137,0.17791,0.01289,Brushed
190,0.987,0.10518,49.94712,0.12957,0.00431,Brushed
191,0.991,0.15858,59.93274,0.18582,0.04774,Brushed
192,0.981,0.07382,29.8137,0.27459,0.04404,Brushed
193,0.984,0.20429,9.18792,0.14449,0.09656,Brushed
194,0.987,0.10518,49.94712,0.12362,0.02265,Brushed
195,0.987,0.06789,57.72029,0.1401,0.00739,Brushed
196,0.985,0.27593,10.42657,0.19079,0.09336,Brushed
197,0.989,0.18547,53.41053,0.168,0.022,Brushed
198,0.991,0.18533,88.48977,0.20684,0.03821,Brushed
199,0.991,0.1558,95.02894,0.20389,0.03817,Brushed
200,0.982,0.17473,9.66149,0.12153,0.098,Brushed
201,0.983,0.14693,29.8137,0.12121,0.07831,Brushed
202,0.985,0.05756,47.56043,0.13039,0.01783,Brushed
203,0.981,0.08711,29.8137,0.14257,0.02436,Brushed
204,0.989,0.0696,54.28682,0.16624,0.09818,Brushed
205,0.982,0.18973,9.45643,0.14774,0.04797,Brushed
206,0.984,0.20631,9.20598,0.20749,0.07997,Brushed
207,0.984,0.05967,47.30092,0.10086,0.00494,Brushed
208,0.986,0.22887,24.30135,0.25932,0.03188,Brushed
209,0.985,0.10662,52.61692,0.12352,0.01964,Brushed
210,0.985,0.03576,49.2107,0.55825,0.04899,Brushed
211,0.985,0.11633,37.36908,0.26656,0.03458,Brushed
212,0.981,0.17831,19.35588,0.17491,0.03407,Brushed
213,0.981,0.19031,3.39474,0.26612,0.02212,Brushed
214,0.985,0.08522,49.52849,0.23352,0.00318,Brushed
215,0.991,0.14249,74.07908,0.09791,0.06077,Brushed
216,0.984,0.09873,37.36908,0.14242,0.04809,Brushed
217,0.989,0.11311,73.62061,0.09858,0.04853,Brushed
218,0.983,0.11636,37.36908,0.16344,0.02987,Brushed
219,0.985,0.11671,37.36908,0.1829,0.05808,Brushed
220,0.989,0.13411,54.23234,0.19456,0.0198,Brushed
221,0.981,0.10404,29.8137,0.1225,0.06127,Brushed
222,0.989,0.13898,48.6207,0.2828,0.04197,Brushed
223,0.989,0.15156,54.35055,0.17412,0.03977,Brushed
224,0.983,0.09876,37.36908,0.17653,0.008,Brushed
225,0.983,0.06778,59.48933,0.0749,0.02954,Brushed
226,0.989,0.15382,49.70959,0.31754,0.00608,Brushed
227,0.981,0.14236,0.16064,0.34257,0.02895,Brushed
228,0.987,0.222,29.8137,0.22196,0.08794,Brushed
161,0.991,0.04878,96.16448,0.39352,0.01181,Brushed
102,0.989,0.03216,67.31022,0.06827,0.06364,Brushed
142,0.991,0.05229,75.69353,0.10209,0.05987,Brushed
85,0.989,0.05009,68.13819,0.14569,0.00998,Brushed
21,0.991,0.2498,59.93274,0.20716,0.02853,Brushed
82,0.984,0.02224,51.98825,0.07373,0.03529,Brushed
98,0.989,0.03398,64.35574,0.12213,0.03018,LS
113,0.983,0.15051,0.16064,0.48567,0.02124,PW
