Realization	utility	week	infra.
668	0	2139	4
669	0	1148	8
669	0	1930	4
669	0	2191	9
672	0	1095	8
672	0	1617	4
672	0	1878	9
672	0	2139	10
674	0	1774	4
674	0	2087	8
679	0	834	8
679	0	1200	4
679	0	1461	9
679	0	1722	10
681	0	1408	4
681	0	1722	8
684	0	1669	4
684	0	1982	8
686	0	1461	8
686	0	1878	4
686	0	2295	9
687	0	1200	4
687	0	1513	8
691	0	2087	4
692	0	1826	4
692	0	2139	8
694	0	1252	8
694	0	1513	9
694	0	1669	4
694	0	1930	10
695	0	1930	4
695	0	2243	8
699	0	887	8
699	0	1304	9
699	0	1617	4
699	0	1878	10
700	0	1930	4
700	0	2243	8
701	0	1356	4
701	0	1669	8
701	0	1930	9
701	0	2191	10
702	0	1356	4
702	0	1669	8
702	0	1930	9
702	0	2191	10
704	0	1565	4
704	0	1878	8
705	0	1148	8
705	0	1878	4
705	0	2295	9
707	0	1617	4
707	0	1930	8
708	0	2139	4
711	0	1774	4
711	0	2087	8
712	0	1252	8
713	0	2295	4
715	0	1252	4
715	0	1565	8
715	0	2087	9
716	0	1513	4
716	0	1826	8
717	0	1095	4
717	0	1408	8
717	0	1669	9
717	0	1930	10
719	0	1513	4
719	0	1826	8
720	0	1565	4
720	0	1878	8
722	0	1252	4
722	0	1565	8
722	0	1826	9
722	0	2087	10
725	0	1617	4
725	0	1930	8
726	0	1774	4
726	0	2191	8
728	0	678	8
728	0	1148	9
728	0	1461	4
728	0	1722	10
729	0	2035	4
731	0	1669	4
731	0	1982	8
732	0	1304	4
732	0	1617	8
732	0	1930	9
732	0	2295	10
734	0	1565	4
734	0	1878	8
735	0	1356	4
735	0	1669	8
736	0	1878	4
736	0	2191	8
737	0	1408	4
737	0	1722	8
739	0	1982	4
739	0	2295	8
740	0	1356	8
740	0	2035	4
742	0	991	8
742	0	1669	4
742	0	1930	9
742	0	2191	10
743	0	1930	4
743	0	2243	8
746	0	1252	4
746	0	1565	8
746	0	1826	9
746	0	2087	10
751	0	1722	4
751	0	2035	8
751	0	2295	9
752	0	1617	4
752	0	1930	8
756	0	2087	4
757	0	2087	4
758	0	834	8
758	0	1304	4
758	0	1565	9
758	0	1826	10
759	0	1461	4
759	0	1774	8
759	0	2191	9
760	0	1461	4
760	0	1878	8
761	0	1669	4
761	0	1982	8
761	0	2243	9
